,datetime,station,lat,lon,pm2_5
148,2024-01-01 21:00:00,5T,13.7367,100.5231,98.75
149,2024-01-01 21:00:00,10T,13.7291,100.775,24.41
150,2024-01-01 21:00:00,11T,13.7898,100.4486,296.97
151,2024-01-01 21:00:00,12T,13.8225,100.5147,98.75
152,2024-01-01 21:00:00,15T,13.7083,100.3728,296.97
153,2024-01-01 21:00:00,61T,13.6796,100.6067,122.95
154,2024-01-01 22:00:00,3T,13.7563,100.5018,88.62
155,2024-01-01 22:00:00,5T,13.7367,100.5231,88.62
156,2024-01-01 22:00:00,10T,13.7291,100.775,23.74
157,2024-01-01 22:00:00,11T,13.7898,100.4486,261.17
158,2024-01-01 22:00:00,12T,13.8225,100.5147,88.62
159,2024-01-01 22:00:00,15T,13.7083,100.3728,261.17
160,2024-01-01 22:00:00,61T,13.6796,100.6067,121.82
161,2024-01-01 23:00:00,3T,13.7563,100.5018,94.75
162,2024-01-01 23:00:00,5T,13.7367,100.5231,94.75
163,2024-01-01 23:00:00,10T,13.7291,100.775,24.24
164,2024-01-01 23:00:00,11T,13.7898,100.4486,242.51
165,2024-01-01 23:00:00,12T,13.8225,100.5147,94.75
166,2024-01-01 23:00:00,15T,13.7083,100.3728,242.51
167,2024-01-01 23:00:00,61T,13.6796,100.6067,116.99
168,2024-01-02 00:00:00,3T,13.7563,100.5018,134.75
169,2024-01-02 00:00:00,5T,13.7367,100.5231,134.75
170,2024-01-02 00:00:00,10T,13.7291,100.775,28.61
171,2024-01-02 00:00:00,11T,13.7898,100.4486,260.97
172,2024-01-02 00:00:00,12T,13.8225,100.5147,134.75
173,2024-01-02 00:00:00,15T,13.7083,100.3728,260.97
174,2024-01-02 00:00:00,61T,13.6796,100.6067,122.53
175,2024-01-02 01:00:00,3T,13.7563,100.5018,174.11
176,2024-01-02 01:00:00,5T,13.7367,100.5231,174.11
177,2024-01-02 01:00:00,10T,13.7291,100.775,32.64
178,2024-01-02 01:00:00,11T,13.7898,100.4486,297.47
179,2024-01-02 01:00:00,12T,13.8225,100.5147,174.11
180,2024-01-02 01:00:00,15T,13.7083,100.3728,297.47
181,2024-01-02 01:00:00,61T,13.6796,100.6067,120.47
182,2024-01-02 02:00:00,3T,13.7563,100.5018,183.35
183,2024-01-02 02:00:00,5T,13.7367,100.5231,183.35
184,2024-01-02 02:00:00,10T,13.7291,100.775,34.4
185,2024-01-02 02:00:00,11T,13.7898,100.4486,319.79
186,2024-01-02 02:00:00,12T,13.8225,100.5147,183.35
187,2024-01-02 02:00:00,15T,13.7083,100.3728,319.79
188,2024-01-02 02:00:00,61T,13.6796,100.6067,107.4
189,2024-01-02 03:00:00,3T,13.7563,100.5018,175.0
190,2024-01-02 03:00:00,5T,13.7367,100.5231,175.0
191,2024-01-02 03:00:00,10T,13.7291,100.775,34.72
192,2024-01-02 03:00:00,11T,13.7898,100.4486,323.59
193,2024-01-02 03:00:00,12T,13.8225,100.5147,175.0
194,2024-01-02 03:00:00,15T,13.7083,100.3728,323.59
195,2024-01-02 03:00:00,61T,13.6796,100.6067,98.9
196,2024-01-02 04:00:00,3T,13.7563,100.5018,66.94
197,2024-01-02 04:00:00,5T,13.7367,100.5231,66.94
198,2024-01-02 04:00:00,10T,13.7291,100.775,11.73
199,2024-01-02 04:00:00,11T,13.7898,100.4486,175.06
200,2024-01-02 04:00:00,12T,13.8225,100.5147,66.94
201,2024-01-02 04:00:00,15T,13.7083,100.3728,175.06
202,2024-01-02 04:00:00,61T,13.6796,100.6067,32.4
203,2024-01-02 05:00:00,3T,13.7563,100.5018,37.58
204,2024-01-02 05:00:00,5T,13.7367,100.5231,37.58
205,2024-01-02 05:00:00,10T,13.7291,100.775,10.09
206,2024-01-02 05:00:00,11T,13.7898,100.4486,97.02
207,2024-01-02 05:00:00,12T,13.8225,100.5147,37.58
208,2024-01-02 05:00:00,15T,13.7083,100.3728,97.02
209,2024-01-02 05:00:00,61T,13.6796,100.6067,20.11
210,2024-01-02 06:00:00,3T,13.7563,100.5018,28.48
211,2024-01-02 06:00:00,5T,13.7367,100.5231,28.48
212,2024-01-02 06:00:00,10T,13.7291,100.775,9.72
213,2024-01-02 06:00:00,11T,13.7898,100.4486,58.23
214,2024-01-02 06:00:00,12T,13.8225,100.5147,28.48
